"nome","resumo","coordenador"
"A ATUAÇÃO CONTEMPORÂNEA DE PROFISSIONAIS DE JORNALISMO","Em breve este conteúdo estará disponível.","Affonso Henriques Da Silva Real Nunes "
"ASSESSORIA DE COMUNICAÇÃO PARA OUVIDORIA","Em breve este conteúdo estará disponível.","Ana Carolina De Azevedo Jacuá "
"LABORATÓRIO DE PODCASTS NARRATIVOS","Em breve este conteúdo estará disponível.","Andriolli De Brites Da Costa "
"USOS E IMPLICAÇÕES DA TECNOLOGIA NO JORNALISMO","Em breve este conteúdo estará disponível.","Fabio Souza Vasconcellos "
"RAMPAS - A REVISTA DIGITAL DO LABORATÓRIO MULTIMÍDIA","Em breve este conteúdo estará disponível.","Fernanda Melo Da Escóssia "
"LINGUAGEM JORNALÍSTICA - REESCREVENDO OS MANUAIS DE REDAÇÃO","Em breve este conteúdo estará disponível.","Fernanda Melo Da Escóssia "
"COMUNICAÇÃO EM RÁDIO","Em breve este conteúdo estará disponível.","Filipe Fernandes Ribeiro Mostaro "
"ESCOLA DE NARRADORES","Em breve este conteúdo estará disponível.","Filipe Fernandes Ribeiro Mostaro "
"ATELIÊ DO PODCAST","Em breve este conteúdo estará disponível.","Filipe Fernandes Ribeiro Mostaro "
"BADAUERJ","Em breve este conteúdo estará disponível.","Filipe Fernandes Ribeiro Mostaro "
"JORNALISMO DO JORNALISMO","Em breve este conteúdo estará disponível.","Geraldo Garcez Condé "
"PROCESSOS DE EDIÇÃO E APRESENTAÇÃO NA FOTOGRAFIA PERIFÉRICA CONTEMPORÂNEA BRASILEIRA","Em breve este conteúdo estará disponível.","Leandro Pimentel Abreu "
"INTERCESSÕES ENTRE FOTOGRAFIA DOCUMENTAL E ARTE CONTEMPORÂNEA","Em breve este conteúdo estará disponível.","Leandro Pimentel Abreu "
"INVESTIGAÇÕES SOBRE NARRATIVA VISUAL NO ENSINO MÉDIO","Em breve este conteúdo estará disponível.","Leandro Pimentel Abreu "
"ATUALIZAÇÃO DO POTENCIAL INTELECTUAL CULTURAL E SOCIAL NA TERCEIRA IDADE","Em breve este conteúdo estará disponível.","Leila Pereira Dos Santos Jordão "
"FCS EM REDES: A MÍDIA DIGITAL COMO UM EXPANSOR NA INTERATIVIDADE SOCIAL E INFORMATIVA NA ACADEMIA","Em breve este conteúdo estará disponível.","Luiza Barboza Da Cruz "
"FCS E REDES SOCIAIS: EXPANSÃO DOS CANAIS DIGITAIS A SERVIÇO DA COMUNICAÇÃO ORGANIZACIONAL INTEGRADA","Em breve este conteúdo estará disponível.","Luiza Barboza Da Cruz "
"COMUNICAÇÃO E SUSTENTABILIDADE - TROCAS DE SABERES ENTRE A UERJ E O INSTITUTO LIVMUNDI","Em breve este conteúdo estará disponível.","Marcelo Ernandez Macedo "
"O CONTEÚDO APRESENTADO REFLETE A TEMÁTICA DO TRABALHO?","Em breve este conteúdo estará disponível.","Maria Silva "
"FERRAMENTAS E HABILIDADES DIGITAIS PARA ALUNOS DO CURSO DE JORNALISMO EM TRANSIÇÃO TECNOLÓGICA","Em breve este conteúdo estará disponível.","Nemézio Clímico Amaral Filho "
"MONITORIA DE ESTUDOS DE PÚBLICOS","Em breve este conteúdo estará disponível.","Nicolau Jose Carvalho Maranini "
"OCUPAÇÃO PÓS-CONCLUSÃO DE CURSO DOS ALUNOS QUE CURSARAM A FACULDADE DE COMUNICAÇÃO DA UERJ","Em breve este conteúdo estará disponível.","Nicolau Jose Carvalho Maranini "
"GRAU DE EXPECTATIVA E SATISFAÇÃO DO ALUNO DOS CURSOS DA FACULDADE DE COMUNICAÇÃO","Em breve este conteúdo estará disponível.","Nicolau Jose Carvalho Maranini "
"ENTOCADOS: FORMAÇÃO CRÍTICA E DIFUSÃO MUSICAL","Em breve este conteúdo estará disponível.","Ricardo Benevides "
"RELAÇÕES INSTITUCIONAIS","Em breve este conteúdo estará disponível.","Rodrigo Freitas De Farias Nunes "
"PODCAST ""ME CONTA AÍ!""","Em breve este conteúdo estará disponível.","Thalyta Mitsue Leite Toda "
"PODCAST ""DIREITO & COMPANHIA"" - A RÁDIO UERJ ATUANDO NA PROMOÇÃO DA CIDADANIA","Em breve este conteúdo estará disponível.","Thalyta Mitsue Leite Toda "
